"blue","dual_sim","four_g","three_g","touch_screen","wi_fi","battery_power","clock_speed","fc","int_memory","m_dep","mobile_wt","n_cores","pc","px_height","px_width","ram","sc_h","sc_w","talk_time","price_range"
0,0,0,0,0,1,0.227788911155645,0.68,0.0526315789473684,0.0806451612903226,0.555555555555556,0.9,0.142857142857143,0.1,0.0102040816326531,0.170894526034713,0.612773917691074,0.285714285714286,0.388888888888889,0.944444444444444,1
1,1,1,1,1,0,0.347361389445558,0,0,0.82258064516129,0.666666666666667,0.466666666666667,0.285714285714286,0.3,0.461734693877551,0.993324432576769,0.634687332977018,0.857142857142857,0.166666666666667,0.277777777777778,2
1,1,1,1,1,0,0.0414161656646627,0,0.105263157894737,0.629032258064516,0.888888888888889,0.541666666666667,0.571428571428571,0.3,0.644387755102041,0.811748998664886,0.627204703367183,0.428571428571429,0.111111111111111,0.388888888888889,2
1,0,0,1,0,0,0.0761523046092184,0.8,0,0.129032258064516,0.777777777777778,0.425,0.714285714285714,0.45,0.620408163265306,0.858477970627503,0.67156600748263,0.785714285714286,0.444444444444444,0.5,2
1,0,1,1,1,0,0.881763527054108,0.28,0.684210526315789,0.67741935483871,0.555555555555556,0.508333333333333,0.142857142857143,0.7,0.616326530612245,0.475300400534045,0.308658471405665,0.214285714285714,0.111111111111111,0.722222222222222,1
0,1,0,1,0,0,0.907147628590514,0,0.157894736842105,0.32258064516129,0.666666666666667,0.7,0,0.35,0.512244897959184,0.770360480640854,0.216729021913415,0.857142857142857,0.0555555555555556,0.444444444444444,1
0,0,1,1,0,1,0.881763527054108,0.48,0.210526315789474,0.129032258064516,0.777777777777778,0.491666666666667,1,0.5,0.194387755102041,0.345794392523364,0.792089791555318,0.571428571428571,0.444444444444444,0.888888888888889,3
0,1,0,1,1,1,0.97060788243153,0,0,0.354838709677419,0.777777777777778,0.891666666666667,0.428571428571429,0,0.261224489795918,0.43324432576769,0.11865312667023,0.785714285714286,0.166666666666667,0.166666666666667,0
1,0,0,1,0,0,0.63059452237809,0,0,0.82258064516129,0.666666666666667,0.783333333333333,0.857142857142857,0.7,0.196938775510204,0.224299065420561,0.225280598610369,0.857142857142857,0.0555555555555556,1,0
1,1,1,1,0,0,0.0053440213760855,0.04,0.105263157894737,0.112903225806452,0,0.108333333333333,0.571428571428571,0.75,0.580102040816327,0.483311081441923,0.0686798503474078,1,0.555555555555556,0.555555555555556,0
1,1,0,0,0,0,0.179024716098864,0.96,0,0.112903225806452,0,0.85,0.571428571428571,0.05,0.126530612244898,0.249666221628838,0.986103687867451,0,0.111111111111111,0.277777777777778,3
1,0,1,1,1,1,0.680694722778891,0.68,0.263157894736842,0.5,0.444444444444444,0.808333333333333,1,0.9,0.0770408163265306,0.337116154873164,0.954035275253875,0.642857142857143,0.5,0.611111111111111,3
0,0,0,1,0,0,0.877755511022044,0.92,0.105263157894737,0.5,0.555555555555556,0.658333333333333,0.428571428571429,0.85,0.30969387755102,0.165554072096128,0.327632282202031,0.928571428571429,0,0,1
1,0,0,1,0,1,0.201736806947228,0.64,0.368421052631579,0.241935483870968,1,0.983333333333333,0.428571428571429,0.55,0.175510204081633,0.627503337783712,0.647781934794228,0.142857142857143,0.0555555555555556,0.111111111111111,2
0,0,1,1,0,1,0.911823647294589,0,0.684210526315789,0.806451612903226,0.666666666666667,0.875,0,0.85,0.181632653061225,0.0420560747663551,0.0312667022982362,0.642857142857143,0.5,0.0555555555555556,0
0,0,0,1,1,1,0.183032732130929,0.2,0.157894736842105,0.709677419354839,0.666666666666667,0.658333333333333,0.142857142857143,0.8,0.439795918367347,0.910547396528705,0.0833778727952966,0.857142857142857,0.833333333333333,0.5,0
0,0,1,1,0,1,0.225116900467602,0,0.0526315789473684,0.17741935483871,0,0.966666666666667,1,0.2,0.502040816326531,0.901201602136182,0.88134687332977,0.357142857142857,0.5,0.944444444444444,3
0,1,1,1,1,0,0.0627922511690047,0.16,0.368421052631579,0.338709677419355,0,0.341666666666667,0.285714285714286,0.85,0.225,0.20694259012016,0.93425975414217,0.357142857142857,0.111111111111111,0.888888888888889,3
1,1,0,1,1,0,0.420841683366733,0,0.578947368421053,0.758064516129032,0.555555555555556,0.175,0.571428571428571,0.9,0.335714285714286,0.252336448598131,0.421966862640299,1,0.722222222222222,0.777777777777778,1
1,0,0,0,1,1,0.120908483633935,0,0.210526315789474,0.274193548387097,1,0.341666666666667,0.428571428571429,0.55,0.460204081632653,0.376502002670227,0.556119722073757,0.428571428571429,0.0555555555555556,0.888888888888889,1
0,1,0,1,1,0,0.181028724114896,0.24,0.631578947368421,0.596774193548387,0.777777777777778,0.00833333333333333,0.857142857142857,0.7,0.670408163265306,0.903871829105474,0.684927846071619,0.857142857142857,0.833333333333333,0.0555555555555556,3
1,0,0,1,0,0,0.806947227788911,0.64,0.0526315789473684,0.17741935483871,1,0.633333333333333,0.142857142857143,0.1,0.496938775510204,0.590787716955941,0.808925708177445,0.857142857142857,0.0555555555555556,0.722222222222222,3
0,1,0,0,0,1,0.967267869071476,0.84,0.210526315789474,0.725806451612903,0.222222222222222,0.991666666666667,0.428571428571429,0.35,0.20765306122449,0.214953271028037,0.314537680384821,0.428571428571429,0.277777777777778,1,1
1,1,1,1,0,0,0.735470941883767,0.92,0.210526315789474,0.580645161290323,0.666666666666667,0.283333333333333,0.285714285714286,1,0.237755102040816,0.192256341789052,0.208711918760021,0.214285714285714,0.388888888888889,1,0
0,1,1,1,0,0,0.00133600534402138,0.28,0.263157894736842,0.0967741935483871,0.333333333333333,0.258333333333333,0.285714285714286,0.65,0.102551020408163,0.497329773030708,0.621859967931587,0.428571428571429,0,0.555555555555556,1
1,1,1,1,1,1,0.307281229124917,0.36,0,0.887096774193548,0.555555555555556,0.283333333333333,1,0.15,0.148469387755102,0.623497997329773,0.675040085515767,0.928571428571429,0.5,0.277777777777778,2
1,1,1,1,0,1,0.0120240480961924,0.44,0.368421052631579,0.790322580645161,0.222222222222222,0.433333333333333,0.428571428571429,0.95,0.280612244897959,0.0967957276368491,0.937199358631748,0.785714285714286,0.0555555555555556,0.111111111111111,3
